"Rk,Player,SCA,SCA90,PassLive,PassDead,Drib,Sh,GCA,GCA90,PassLive,PassDead,Drib,Sh"
"67,Jarrod Bowen\79c84d1c,78,2.74,44,11,4,10,11,0.39,6,3,0,2"
"68,Robbie Brady\96bb8cc2,17,1.45,12,2,0,2,1,0.09,0,1,0,0"
"69,Rhian Brewster\30e81a88,22,1.76,16,0,0,4,0,0.00,0,0,0,0"
"70,Nathan Broadhead\43309491,0,0.00,0,0,0,0,0,0.00,0,0,0,0"
"71,Josh Brownhill\47369df8,46,1.47,34,0,2,2,1,0.03,1,0,0,0"
"72,Joe Bryan\af69e7f0,19,2.56,11,3,2,2,1,0.13,0,0,0,0"
"73,Kean Bryan\c684d3c9,5,0.45,5,0,0,0,0,0.00,0,0,0,0"
"74,Oliver Burke\f631c17f,28,1.99,18,0,6,2,1,0.07,1,0,0,0"
"75,Dan Burn\b2d31e83,20,0.87,19,0,0,1,1,0.04,0,0,0,1"
"76,Jack Butland\cc70a1d5,0,0.00,0,0,0,0,0,0.00,0,0,0,0"
"77,David Button\e608ed4c,0,0.00,0,0,0,0,0,0.00,0,0,0,0"
"78,Oskar Buur\aa6f2f2c,0,0.00,0,0,0,0,0,0.00,0,0,0,0"
"79,Willy Caballero\a179d516,0,0.00,0,0,0,0,0,0.00,0,0,0,0"
"80,Gary Cahill\7914b9fe,12,0.60,12,0,0,0,2,0.10,2,0,0,0"
"81,Tom Cairney\a8748947,35,4.15,21,8,3,1,2,0.24,2,0,0,0"
"82,Dominic Calvert-Lewin\59e6e5bf,50,1.57,31,0,2,6,9,0.28,2,0,0,5"
"83,João Cancelo\bd6351cd,71,2.78,57,5,7,1,10,0.39,7,1,0,1"
"84,Ian Carlo Poveda\55b4f1d6,9,2.28,6,0,3,0,0,0.00,0,0,0,0"
"85,Andy Carroll\b581987a,9,2.07,5,0,1,1,1,0.23,1,0,0,0"
"86,Scott Carson\3e1550ee,0,0.00,0,0,0,0,0,0.00,0,0,0,0"
"87,Fabio Carvalho\966e28d0,5,1.76,3,0,1,0,0,0.00,0,0,0,0"
"88,Matty Cash\2389cdc2,33,1.25,25,4,2,0,2,0.08,2,0,0,0"
"89,Kiko Casilla\58bc7d18,1,0.33,1,0,0,0,0,0.00,0,0,0,0"
"90,Timothy Castagne\197640fd,41,1.57,37,2,0,0,3,0.12,3,0,0,0"
"91,Jonny Castro\e28868f3,6,1.09,6,0,0,0,0,0.00,0,0,0,0"
"92,Ivan Cavaleiro\979b811d,72,2.62,48,14,3,3,1,0.04,1,0,0,0"
"93,Edinson Cavani\527f063d,34,2.23,24,0,2,4,4,0.26,3,0,0,1"
"94,Dani Ceballos\c0617e2b,55,3.07,48,3,1,1,5,0.28,4,0,0,1"
"95,Calum Chambers\dc6f5bdd,16,1.91,15,0,0,1,2,0.24,2,0,0,0"
"96,Ben Chilwell\d2424d1b,57,2.24,36,12,1,3,9,0.35,8,0,0,0"
"97,Hamza Choudhury\7d2d3329,3,0.85,2,0,0,1,1,0.28,1,0,0,0"
"98,Andreas Christensen\1cb49278,9,0.59,9,0,0,0,1,0.07,1,0,0,0"
"99,Carney Chukwuemeka\b2f9c73e,0,0.00,0,0,0,0,0,0.00,0,0,0,0"
"100,Ciaran Clark\2b91cf8e,6,0.29,6,0,0,0,0,0.00,0,0,0,0"
"101,Nathaniel Clyne\0442183b,7,0.55,5,1,0,1,1,0.08,1,0,0,0"
"102,Conor Coady\2928dca2,9,0.25,7,0,0,1,0,0.00,0,0,0,0"
"103,Séamus Coleman\0420d84f,33,1.84,24,1,4,1,5,0.28,4,0,0,0"
"104,Aaron Connolly\27c01749,12,1.37,7,0,3,0,1,0.11,1,0,0,0"
"105,Liam Cooper\dc64b8b3,14,0.58,9,0,0,3,2,0.08,2,0,0,0"
"106,Theo Corbeanu\25b82f9a,1,10.00,1,0,0,0,0,0.00,0,0,0,0"
"107,Jack Cork\74e12f1e,18,1.20,16,0,0,1,1,0.07,1,0,0,0"
"108,Hélder Costa\f13d02a6,21,1.63,15,0,2,1,6,0.47,5,0,0,0"
"109,Vladimír Coufal\fdf3cb77,71,2.09,54,11,1,2,7,0.21,7,0,0,0"
"110,Aaron Cresswell\4f974391,96,2.73,48,41,1,4,14,0.40,5,6,0,2"
"111,Patrick Cutrone\a4fe8cda,0,0.00,0,0,0,0,0,0.00,0,0,0,0"
"112,Stuart Dallas\67ca8566,74,1.95,63,2,4,3,6,0.16,6,0,0,0"
