"Rk,Player,Cmp%,TotDist,PrgDist,Cmp%,Cmp%,Cmp%,KP,1/3,PPA,CrsPA,Prog"
"62,Bernardo\17370b95,71.3,1042,288,84.2,70.6,83.3,2,3,2,1,6"
"63,Ryan Bertrand\01226327,76.8,19449,7477,88.1,79.6,42.9,13,65,24,5,97"
"64,Yves Bissouma\6c203af0,87.2,29183,5414,88.7,91.5,78.2,15,123,21,2,114"
"65,Jayden Bogle\ae5019e6,78.3,4772,1869,87.8,80.6,56.6,4,17,7,1,23"
"66,Willy Boly\a4ac4b8f,82.8,16279,5637,88.8,89.9,58.1,3,47,1,0,40"
"67,Jarrod Bowen\79c84d1c,68.0,9687,2148,76.4,78.6,50.0,28,22,22,9,37"
"68,Robbie Brady\96bb8cc2,67.7,4703,1627,82.6,68.2,43.6,7,23,6,4,32"
"69,Rhian Brewster\30e81a88,69.3,2629,649,77.5,69.1,60.6,8,13,4,2,14"
"70,Nathan Broadhead\43309491,100.0,21,2,100.0,,,0,0,0,0,0"
"71,Josh Brownhill\47369df8,79.0,14887,3376,87.3,81.1,52.6,19,66,17,2,66"
"72,Joe Bryan\af69e7f0,70.2,5236,2212,85.5,78.3,37.3,6,23,5,2,27"
"73,Kean Bryan\c684d3c9,72.9,6614,3041,91.5,82.1,43.5,4,27,3,1,22"
"74,Oliver Burke\f631c17f,70.6,2434,326,77.6,77.6,41.7,13,5,8,1,11"
"75,Dan Burn\b2d31e83,76.7,16883,5286,81.8,83.4,46.5,9,73,15,5,77"
"76,Jack Butland\cc70a1d5,28.6,258,207,100.0,,21.1,0,1,0,0,0"
"77,David Button\e608ed4c,43.2,687,484,100.0,100.0,36.4,0,0,0,0,0"
"78,Oskar Buur\aa6f2f2c,93.3,201,47,100.0,100.0,0.0,0,0,0,0,0"
"79,Willy Caballero\a179d516,92.3,496,302,100.0,100.0,60.0,0,0,0,0,0"
"80,Gary Cahill\7914b9fe,84.6,12855,4415,85.9,93.4,63.5,8,34,1,0,34"
"81,Tom Cairney\a8748947,88.7,11165,2009,94.3,91.9,78.1,20,61,10,5,32"
"82,Dominic Calvert-Lewin\59e6e5bf,71.6,7196,1149,77.0,67.9,83.0,17,27,11,1,36"
"83,João Cancelo\bd6351cd,85.7,31794,8986,92.3,87.9,68.8,44,135,69,9,166"
"84,Ian Carlo Poveda\55b4f1d6,73.5,1384,482,79.2,80.5,57.1,4,7,9,2,18"
"85,Andy Carroll\b581987a,63.1,1415,433,71.6,56.5,50.0,2,10,3,0,12"
"86,Scott Carson\3e1550ee,93.8,334,200,100.0,100.0,75.0,0,0,0,0,0"
"87,Fabio Carvalho\966e28d0,77.9,869,98,85.5,83.3,60.0,2,3,2,0,5"
"88,Matty Cash\2389cdc2,73.9,18616,6966,89.5,79.7,45.9,22,78,24,16,64"
"89,Kiko Casilla\58bc7d18,87.2,2073,1230,100.0,100.0,67.6,0,0,0,0,0"
"90,Timothy Castagne\197640fd,83.8,20653,7144,91.5,86.8,52.5,22,87,21,7,99"
"91,Jonny Castro\e28868f3,78.7,2770,1002,87.4,83.5,42.1,3,8,1,1,11"
"92,Ivan Cavaleiro\979b811d,72.0,10024,2429,81.2,80.7,45.8,44,19,30,11,50"
"93,Edinson Cavani\527f063d,78.7,4517,627,82.2,84.1,83.3,15,16,13,1,18"
"94,Dani Ceballos\c0617e2b,86.5,22027,5182,90.8,91.6,74.8,27,131,22,3,107"
