"Rk,Player,Pos,MP,Starts,Min,90s,Ast,G-PK,PK,CrdY,CrdR,xG,npxG,xA,npxG+xA"
"229,Curtis Jones\4fb9c88f,MF,24,13,1179,13.1,2,1,0,2,0,1.4,1.4,1.6,3.0"
"230,Jorginho\45db685d,MF,28,23,2010,22.3,1,0,7,2,0,7.0,0.1,2.1,2.2"
"231,Willian José\d87e2cae,FW,17,12,1110,12.3,0,1,0,0,0,1.9,1.9,0.6,2.4"
"232,Diogo Jota\178ae8f8,FW,19,12,1112,12.4,0,9,0,2,0,6.6,6.6,1.6,8.2"
"233,James Justin\fb614c44,DF,23,23,2070,23.0,1,2,0,4,0,1.6,1.6,1.6,3.2"
"234,Ozan Kabak\2d61d13a,DF,9,9,801,8.9,0,0,0,3,0,0.1,0.1,0.2,0.3"
"235,Aboubakar Kamara\4047c976,FWDF,11,2,315,3.5,0,0,0,1,1,0.4,0.4,0.4,0.8"
"236,Harry Kane\21a66f6a,FW,35,35,3082,34.2,14,19,4,1,0,20.5,17.5,7.4,24.8"
"237,N'Golo Kanté\b9fbae28,MF,30,24,2146,23.8,2,0,0,7,0,0.9,0.9,1.1,2.0"
"238,Moise Kean\3d50bcdb,FW,2,0,15,0.2,0,0,0,0,0,0.0,0.0,0.0,0.0"
"239,Michael Keane\c5b7c315,DF,35,33,2991,33.2,1,3,0,4,0,1.2,1.2,1.1,2.3"
"240,Neeskens Kebano\18b999f4,FWMF,5,1,119,1.3,0,0,0,0,0,0.3,0.3,0.0,0.3"
"241,Naby Keïta\f25c8e3a,MF,10,7,520,5.8,0,0,0,1,0,0.5,0.5,0.8,1.3"
"242,Caoimhín Kelleher\62d7ef38,GK,2,2,180,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"243,Martin Kelly\d7492450,DF,1,0,2,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"244,Jonjoe Kenny\099e666f,DFFW,4,1,79,0.9,0,0,0,0,0,0.0,0.0,0.0,0.0"
"245,Reda Khadra\88acf83f,FW,1,0,5,0.1,0,0,0,0,0,0.0,0.0,0.0,0.0"
"246,Max Kilman\d0f72bf1,DF,18,14,1310,14.6,1,0,0,4,0,0.4,0.4,0.5,1.0"
"247,Joshua King\43458538,MFFW,11,0,148,1.6,0,0,0,0,0,0.8,0.8,0.0,0.8"
"248,Mateusz Klich\282679b4,MF,35,28,2393,26.6,5,2,2,6,0,3.3,1.8,3.9,5.7"
"249,Robin Koch\ea6bc03a,DFMF,17,13,1132,12.6,0,0,0,1,0,0.8,0.8,0.2,1.0"
"250,Sead Kolašinac\3935e52e,DF,1,1,90,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"251,Terence Kongolo\1f9a3a04,DF,1,1,90,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"252,Ezri Konsa\0313a347,DF,36,35,3196,35.5,0,2,0,3,0,2.1,2.1,0.2,2.3"
"253,Cheikhou Kouyaté\8d3c902d,DF,36,35,3121,34.7,0,1,0,4,0,0.8,0.8,0.2,1.0"
"254,Mateo Kova?i?\79c0821a,MF,27,21,1815,20.2,1,0,0,4,0,1.0,1.0,1.8,2.9"
"255,Emil Krafth\77cf6852,DF,16,14,1288,14.3,0,1,0,4,0,0.2,0.2,0.4,0.5"
"256,Filip Krovinovi?\c2dfedeb,MF,11,5,546,6.1,0,0,0,0,0,0.2,0.2,0.3,0.5"
"257,Alexandre Lacazette\9dbb75ca,FW,31,22,1923,21.4,2,10,3,3,0,9.7,7.4,2.7,10.1"
"258,Adam Lallana\99813635,MFFW,30,16,1596,17.7,1,1,0,0,0,2.4,2.4,2.8,5.3"
"259,Érik Lamela\abe66106,FWMF,23,5,717,8.0,0,1,0,6,1,1.4,1.4,0.9,2.4"
"260,Tariq Lamptey\f4e433d4,DF,11,11,886,9.8,1,1,0,4,1,0.6,0.6,1.1,1.7"
"261,Manuel Lanzini\26f6dca8,MFFW,17,5,566,6.3,1,1,0,1,0,1.2,1.2,0.9,2.0"
"262,Aymeric Laporte\119b9a8e,DF,16,14,1344,14.9,0,0,0,1,0,0.8,0.8,0.7,1.5"
"263,Jamaal Lascelles\450ab6fc,DF,19,19,1625,18.1,0,2,0,4,0,1.0,1.0,0.0,1.0"
"264,Maxime Le Marchand\321a71a7,DF,2,1,123,1.4,0,0,0,2,0,0.0,0.0,0.0,0.0"
"265,Mario Lemina\2b471f99,MF,28,19,1703,18.9,0,1,0,5,0,0.9,0.9,0.8,1.8"
"266,Bernd Leno\2628fd2b,GK,35,35,3131,34.8,0,0,0,0,1,0.0,0.0,0.0,0.0"
"267,Khanya Leshabela\383e68b1,MF,1,0,10,0.1,0,0,0,0,0,0.0,0.0,0.0,0.0"
"268,Jamal Lewis\efb9215a,DF,24,20,1837,20.4,1,0,0,4,0,0.2,0.2,1.6,1.8"
"269,Victor Lindelöf\f5deef4c,DF,29,29,2585,28.7,1,1,0,0,0,0.7,0.7,0.7,1.3"
"270,Jesse Lingard\810e3c74,MFFW,16,16,1421,15.8,4,8,1,3,0,5.1,3.4,1.5,4.9"
"271,Jake Livermore\b98570d1,MF,18,15,1242,13.8,0,0,0,2,1,0.2,0.2,0.2,0.5"
"272,Diego Llorente\bba30585,DF,15,14,1204,13.4,0,1,0,1,0,0.7,0.7,0.6,1.4"
"273,Hugo Lloris\8f62b6ee,GK,38,38,3420,38.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"274,Giovani Lo Celso\d7553721,MF,18,11,945,10.5,1,1,0,5,0,1.2,1.2,1.3,2.4"
"275,Ruben Loftus-Cheek\e97fd090,FW,1,1,60,0.7,0,0,0,0,0,0.0,0.0,0.0,0.0"
"276,Ruben Loftus-Cheek\e97fd090,MFFW,30,21,1909,21.2,0,1,0,3,0,3.1,3.1,1.4,4.5"
"277,Kevin Long\5a4280b1,DF,8,7,637,7.1,0,0,0,2,0,0.3,0.3,0.0,0.3"
"278,Shane Long\9f472354,FW,11,1,210,2.3,0,0,0,0,0,0.0,0.0,0.0,0.0"
"279,Matthew Longstaff\c0027d2d,MF,5,4,377,4.2,0,0,0,0,0,0.0,0.0,0.1,0.1"
"280,Sean Longstaff\a2b105e0,MF,22,15,1412,15.7,1,0,0,2,0,1.4,1.4,1.1,2.5"
"281,Ademola Lookman\7c104bb7,FWMF,34,31,2747,30.5,4,4,0,5,0,5.5,4.8,5.2,10.0"
"282,Max Lowe\7af88b33,DF,8,7,550,6.1,0,0,0,1,0,0.1,0.1,0.2,0.3"
"283,Matthew Lowton\9a9c05db,DF,34,34,3060,34.0,1,1,0,5,0,0.7,0.7,2.3,3.0"
"284,David Luiz\c0e27d1a,DF,20,17,1396,15.5,0,1,0,1,1,0.9,0.9,0.4,1.3"
"285,Douglas Luiz\6f7d826d,MF,33,32,2781,30.9,2,0,0,10,1,1.5,1.5,1.5,3.0"
"286,John Lundstram\0df2b165,MF,28,23,2032,22.6,2,0,0,8,1,2.0,1.3,1.2,2.5"
"287,Alexis Mac Allister\83d074ff,MFFW,21,13,1115,12.4,1,1,0,1,0,1.1,1.1,2.4,3.5"
"288,James Maddison\ee38d9c5,MFFW,31,24,2099,23.3,5,8,0,4,0,4.4,4.4,5.3,9.7"
"289,Harry Maguire\d8931174,DF,34,34,3047,33.9,1,2,0,11,0,2.1,2.1,0.3,2.4"
"290,Riyad Mahrez\892d5bb1,FW,27,23,1949,21.7,6,9,0,0,0,5.6,5.6,5.9,11.5"
"291,Ainsley Maitland-Niles\e3a5814e,DF,11,5,490,5.4,0,0,0,0,0,0.1,0.1,0.2,0.3"
"292,Ainsley Maitland-Niles\e3a5814e,MF,15,14,1230,13.7,0,0,0,2,0,0.7,0.7,0.7,1.4"
"293,Josh Maja\bc0bfc64,FWMF,15,9,810,9.0,0,2,1,0,0,4.8,4.0,1.1,5.1"
"294,Sadio Mané\c691bfe2,FW,35,31,2810,31.2,7,11,0,3,0,15.2,15.2,5.7,20.9"
"295,Javier Manquillo\758dd7f0,DF,13,10,825,9.2,0,0,0,1,0,0.0,0.0,0.2,0.3"
"296,Fernando Marçal\9ae9eaea,DF,13,7,623,6.9,0,0,0,2,0,0.1,0.1,0.2,0.2"
"297,Solly March\bb5fbd2b,DF,21,19,1672,18.6,1,2,0,0,0,1.7,1.7,1.7,3.4"
"298,Pablo Marí\aa54ec6f,DF,10,10,900,10.0,0,0,0,2,0,0.0,0.0,0.0,0.0"
"299,Anthony Martial\8b788c01,FW,22,17,1480,16.4,3,4,0,0,1,6.5,6.5,2.0,8.5"
"300,Martinelli\48a5a5d6,FW,14,7,589,6.5,1,2,0,0,0,3.4,3.4,2.1,5.5"
"301,Emiliano Martínez\7956236f,GK,38,38,3420,38.0,0,0,0,1,0,0.0,0.0,0.2,0.2"
"302,Arthur Masuaku\57df7a11,DFFW,12,12,1006,11.2,2,0,0,2,0,0.3,0.3,1.9,2.2"
"303,Juan Mata\29733c72,FWMF,9,6,509,5.7,2,0,1,0,0,1.1,0.3,0.8,1.2"
"304,Jean-Philippe Mateta\50e6dc35,FW,7,2,221,2.5,0,1,0,0,0,0.2,0.2,0.0,0.2"
"305,Nemanja Mati?\eb7822d7,MF,20,12,1106,12.3,0,0,0,2,0,0.3,0.3,0.4,0.7"
"306,Joël Matip\b217ef29,DF,10,9,691,7.7,2,1,0,2,0,0.6,0.6,1.0,1.7"
"307,Neal Maupay\4bcf39f6,FWMF,33,29,2512,27.9,2,5,3,1,1,13.0,9.9,3.6,13.5"
"308,James McArthur\cee31595,MF,18,17,1466,16.3,2,0,0,3,0,0.2,0.2,0.9,1.1"
"309,Oliver McBurnie\78b8ac63,FW,23,12,1324,14.7,0,1,0,2,0,3.1,3.1,1.1,4.1"
"310,Alex McCarthy\36c2ca73,GK,30,30,2700,30.0,0,0,0,2,0,0.0,0.0,0.0,0.0"
"311,James McCarthy\64b08de7,MF,16,10,821,9.1,0,0,0,1,0,0.0,0.0,0.3,0.3"
"312,John McGinn\90f91999,MF,37,37,3330,37.0,5,3,0,12,0,2.2,2.2,3.0,5.3"
"313,David McGoldrick\dbe56a33,FWMF,35,28,2397,26.6,1,8,0,7,0,6.9,6.9,1.3,8.2"
"314,Dwight McNeil\fc15fb84,MF,36,34,3069,34.1,5,2,0,1,0,1.1,1.1,6.5,7.6"
"315,Scott McTominay\d93c2511,MF,32,24,2129,23.7,1,4,0,3,0,2.1,2.1,0.9,3.1"
"316,Ben Mee\8df7a2fb,DF,30,30,2693,29.9,0,2,0,3,0,1.6,1.6,0.3,2.0"
"317,Hannibal Mejbri\ca22ccb0,MF,1,0,9,0.1,0,0,0,0,0,0.0,0.0,0.0,0.0"
"318,Benjamin Mendy\5271c8f1,DF,13,11,953,10.6,1,2,0,2,0,0.4,0.4,0.4,0.9"
"319,Edouard Mendy\33887998,GK,31,31,2745,30.5,0,0,0,2,0,0.0,0.0,0.0,0.0"
"320,Nampalys Mendy\1598599e,MF,23,15,1459,16.2,1,0,0,5,0,0.1,0.1,0.4,0.4"
"321,Illan Meslier\6b625ac2,GK,35,35,3150,35.0,0,0,0,0,0,0.0,0.0,0.1,0.1"
"322,Luka Milivojevi?\2ce2508a,MF,31,27,2359,26.2,1,0,1,8,1,2.3,0.8,1.3,2.1"
"323,James Milner\2f90f6b8,MFDF,26,11,1070,11.9,1,0,0,3,0,0.4,0.4,1.2,1.7"
"324,Yerry Mina\6d5701f2,DF,24,23,1937,21.5,0,2,0,2,0,1.3,1.3,0.0,1.3"
"325,Takumi Minamino\f833a830,MFFW,9,2,293,3.3,0,1,0,0,0,0.7,0.7,0.0,0.7"
"326,Takumi Minamino\f833a830,MFFW,10,9,711,7.9,0,2,0,1,0,1.2,1.2,0.5,1.7"
"327,Tyrone Mings\8397a50c,DF,36,36,3194,35.5,2,2,0,6,1,1.9,1.9,0.6,2.5"
"328,Tyrick Mitchell\5cbd1eb0,DF,19,19,1710,19.0,1,1,0,1,0,0.4,0.4,0.4,0.8"
"329,Aleksandar Mitrovi?\3925dbd6,FW,27,13,1402,15.6,3,2,1,3,0,6.5,5.0,2.6,7.6"
"330,Jakub Moder\f230bc30,DFMF,12,7,647,7.2,0,0,0,0,0,0.9,0.9,0.2,1.0"
"331,Jayson Molumby\c908a1bc,MF,1,0,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"332,Wesley Moraes\bfae110f,MFFW,3,0,18,0.2,0,0,0,0,0,0.0,0.0,0.0,0.0"
"333,Wes Morgan\80c31c97,DF,3,0,18,0.2,0,0,0,0,0,0.0,0.0,0.0,0.0"
"334,Mason Mount\9674002f,MFFW,36,32,2890,32.1,5,5,1,2,0,6.8,6.0,7.8,13.8"
"335,Lucas Moura\2b622f01,FWMF,30,14,1411,15.7,4,3,0,1,0,2.2,2.2,2.3,4.5"
"336,Lys Mousset\d9cfca3d,FWMF,11,2,296,3.3,0,0,0,0,0,0.7,0.7,0.3,1.1"
"337,João Moutinho\f5a00fa4,MF,33,28,2528,28.1,1,1,0,5,1,0.7,0.7,2.6,3.3"
"338,Joel Mumbongo\f8e588df,FW,4,0,40,0.4,0,0,0,1,0,0.0,0.0,0.0,0.0"
"339,Jacob Murphy\de112b84,DFMF,26,17,1626,18.1,3,2,0,3,0,1.2,1.2,2.4,3.6"
"340,Shkodran Mustafi\3f2d59fe,DF,3,0,47,0.5,0,0,0,0,0,0.0,0.0,0.0,0.0"
"341,Marvelous Nakamba\de5b5570,MF,13,9,749,8.3,0,0,0,3,0,0.0,0.0,0.0,0.1"
"342,Iliman Ndiaye\5ed97752,MF,1,0,12,0.1,0,0,0,0,0,0.0,0.0,0.0,0.0"
"343,Wilfred Ndidi\6b47c5db,MFDF,26,25,2176,24.2,4,1,0,6,0,0.8,0.8,1.5,2.2"
"344,Tanguy Ndombele\5cdddffa,MF,33,28,2091,23.2,2,3,0,3,0,1.4,1.4,2.4,3.8"
"345,Reiss Nelson\c5bdb6e3,FW,2,0,71,0.8,0,0,0,0,0,0.0,0.0,0.0,0.0"
"346,Pedro Neto\7ba2eaa9,FWMF,31,30,2550,28.3,6,5,0,4,0,4.8,4.8,6.2,11.0"
"347,Rúben Neves\44bfb6c5,MF,36,31,2675,29.7,1,2,3,8,0,5.1,2.9,2.1,5.0"
"348,Eddie Nketiah\a53649b7,FW,17,4,423,4.7,1,2,0,0,0,2.4,2.4,0.8,3.3"
"349,Niels Nkounkou\f5b281e7,DFFW,2,1,81,0.9,0,0,0,1,0,0.0,0.0,0.0,0.0"
"350,Dan Nlundulu\30040f5d,FW,13,0,111,1.2,0,0,0,0,0,0.1,0.1,0.0,0.1"
"351,Mark Noble\ff527768,MF,21,8,712,7.9,0,0,0,1,0,0.0,0.0,0.2,0.2"
"352,Will Norris\c73ada83,GK,2,2,180,2.0,0,0,0,0,0,0.0,0.0,0.1,0.1"
"353,Oliver Norwood\43439614,MF,32,26,2220,24.7,0,0,0,6,0,0.5,0.5,1.7,2.1"
"354,Jack O'Connell\312626c1,DF,2,2,180,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"355,Dara O'Shea\1d042188,DF,28,25,2102,23.4,0,0,0,3,0,0.2,0.2,0.1,0.3"
"356,Michael Obafemi\caa1a7f0,FW,4,0,61,0.7,0,0,0,0,0,0.0,0.0,0.1,0.1"
"357,Denis Odoi\f7750aa0,DF,3,3,270,3.0,0,0,0,1,0,0.1,0.1,0.1,0.1"
"358,Angelo Ogbonna\74b2cd7e,DF,28,28,2492,27.7,0,3,0,5,0,1.5,1.5,1.0,2.5"
"359,Robin Olsen\e7ee38c3,GK,7,7,630,7.0,0,0,0,1,0,0.0,0.0,0.0,0.0"
"360,Josh Onomah\6612cd8c,MF,11,4,374,4.2,0,0,0,1,0,0.6,0.6,0.1,0.7"
"361,Divock Origi\43a166b4,FW,9,2,186,2.1,0,0,0,0,0,1.0,1.0,0.2,1.2"
"362,Ben Osborn\79bc4c45,MFDF,24,17,1604,17.8,0,1,0,1,0,1.2,1.2,2.1,3.3"
"363,Owen Otasowie\6956ff08,MFFW,6,2,187,2.1,1,0,0,1,0,0.6,0.6,0.1,0.7"
"364,Alex Oxlade-Chamberlain\38c7feef,FWMF,13,2,253,2.8,1,1,0,0,0,0.4,0.4,0.2,0.6"
"365,Emerson Palmieri\e0bc6fdc,DF,2,0,90,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"366,Thomas Partey\529f49ab,MF,24,18,1534,17.0,2,0,0,5,0,1.3,1.3,1.0,2.3"
"367,Rui Patrício\79b0d6a0,GK,37,37,3329,37.0,0,0,0,1,0,0.0,0.0,0.0,0.0"
"368,Bailey Peacock-Farrell\4879f8cb,GK,4,4,360,4.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"369,Lee Peltier\af341b88,DF,4,3,229,2.5,0,0,0,1,0,0.0,0.0,0.0,0.0"
"370,Nicolas Pépé\57e3f0c7,FW,29,16,1616,18.0,1,9,1,1,1,7.0,6.2,0.9,7.1"
"371,Matheus Pereira\b04ee927,MFFW,33,30,2577,28.6,6,7,4,2,1,7.2,4.1,5.4,9.5"
"372,Ricardo Pereira\75a72a99,DF,15,10,959,10.7,1,0,0,3,0,0.4,0.4,0.5,0.9"
"373,Ayoze Pérez\819aa8e7,MFFW,25,15,1331,14.8,1,2,0,2,0,3.2,3.2,1.2,4.5"
"374,Kalvin Phillips\4f565d77,MF,29,28,2428,27.0,2,1,0,10,0,0.4,0.4,3.8,4.1"
"375,Matt Phillips\7bb5f40e,MFFW,33,20,1828,20.3,1,2,0,1,0,2.5,2.5,3.1,5.6"
"376,Nathaniel Phillips\515ebe8d,DF,17,15,1456,16.2,1,1,0,2,0,1.1,1.1,0.4,1.5"
"377,Jaden Philogene Bidace\19f4d211,FW,1,0,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"378,Jordan Pickford\4806ec67,GK,31,31,2742,30.5,0,0,0,1,0,0.0,0.0,0.0,0.0"
"379,Erik Pieters\1ef37668,DFMF,20,13,1266,14.1,1,0,0,1,0,0.2,0.2,0.5,0.7"
"380,Daniel Podence\7fcc71d8,MFFW,24,22,1661,18.5,2,3,0,3,0,3.1,3.1,1.9,5.0"
"381,Paul Pogba\867239d3,MFFW,26,21,1897,21.1,3,3,0,3,0,2.1,2.1,2.1,4.2"
"382,Nick Pope\4b40d9ca,GK,32,32,2880,32.0,0,0,0,1,0,0.0,0.0,0.4,0.4"
"383,Dennis Praet\86695068,MFFW,15,10,718,8.0,1,1,0,0,0,0.5,0.5,0.8,1.3"
"384,Davy Pröpper\fdd85f94,MF,7,2,213,2.4,0,0,0,0,0,0.1,0.1,0.0,0.1"
"385,Christian Pulisic\1bf33a9a,FWMF,27,18,1738,19.3,2,4,0,2,0,5.4,5.4,2.8,8.2"
"386,Aaron Ramsdale\466fb2c5,GK,38,38,3420,38.0,0,0,0,1,0,0.0,0.0,0.2,0.2"
"387,Jacob Ramsey\1544f145,MFFW,22,6,626,7.0,0,0,0,0,0,0.5,0.5,0.3,0.8"
"388,Kayne Ramsey\dc31b84c,DF,1,1,90,1.0,0,0,0,1,0,0.0,0.0,0.0,0.0"
"389,Darren Randolph\6385ebfb,GK,3,3,270,3.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"390,Marcus Rashford\a1d5bd30,FW,37,33,2920,32.4,9,11,0,4,0,9.3,9.3,3.6,12.9"
"391,Tim Ream\28b40c9c,DF,7,7,630,7.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"392,Nathan Redmond\ab651565,MFFW,29,17,1738,19.3,3,2,0,1,0,3.3,3.3,3.2,6.6"
"393,Harrison Reed\803ae100,MF,31,26,2247,25.0,2,0,0,5,0,0.3,0.3,1.4,1.8"
"394,Sergio Reguilón\3353737a,DF,27,26,2244,24.9,3,0,0,5,0,1.6,1.6,1.7,3.2"
"395,Bobby Reid\0f7533cd,MFDF,33,28,2372,26.4,2,5,0,7,0,4.8,4.8,1.4,6.2"
"396,Declan Rice\1c7012b8,MF,32,32,2879,32.0,1,1,1,2,0,3.0,1.5,2.1,3.5"
"397,Lewis Richardson\4fa62ae4,FWMF,2,0,4,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"398,Richarlison\fa031b34,FW,34,33,2861,31.8,3,6,1,4,1,11.5,10.7,3.2,13.8"
"399,Jaïro Riedewald\7a1f2c08,MF,33,19,1820,20.2,0,2,0,4,0,0.7,0.7,1.0,1.6"
"400,Matt Ritchie\71ef519e,DFMF,18,15,1350,15.0,2,0,0,2,0,0.4,0.4,1.5,1.9"
"401,Tyler Roberts\6c17e046,MFFW,27,14,1340,14.9,2,1,0,3,0,2.1,2.1,1.8,3.8"
"402,Andrew Robertson\2e4f5f03,DF,38,38,3383,37.6,7,1,0,2,0,1.4,1.4,6.9,8.2"
"403,Antonee Robinson\289601e6,DF,28,24,2162,24.0,0,0,0,4,1,0.6,0.6,1.6,2.2"
"404,Callum Robinson\e75750a3,FWMF,28,20,1560,17.3,0,5,0,0,0,3.1,3.1,0.8,3.9"
"405,Jack Robinson\7399c7a8,DF,11,9,877,9.7,1,0,0,3,0,0.4,0.4,0.9,1.2"
"406,Hal Robson-Kanu\fb2dec57,FWMF,19,2,561,6.2,0,2,0,2,0,1.5,1.5,0.4,1.9"
"407,Marek Rodák\17acc2ed,GK,2,2,180,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"408,Joe Rodon\8d62d31a,DF,12,8,733,8.1,0,0,0,0,0,0.0,0.0,0.0,0.0"
"409,Rodri\6434f10d,MF,34,31,2748,30.5,2,1,1,6,0,2.5,1.7,1.7,3.4"
"410,Rodrigo\1fb1c435,MFFW,26,14,1288,14.3,2,7,0,3,0,6.3,6.3,2.4,8.6"
"411,James Rodríguez\715bf047,FWMF,23,21,1764,19.6,4,6,0,4,0,3.4,3.4,5.4,8.8"
"412,Jay Rodriguez\4ab53cdb,FWMF,31,12,1265,14.1,2,1,0,3,0,2.6,2.6,1.7,4.3"
"413,Oriol Romeu\4b511457,MF,21,20,1763,19.6,1,1,0,6,0,0.4,0.4,1.1,1.5"
"414,John Ruddy\da8b19e2,GK,2,1,91,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"415,Antonio Rüdiger\18b896d6,DF,19,19,1710,19.0,0,1,0,0,0,1.1,1.1,0.3,1.4"
"416,Mathew Ryan\4535e4bb,GK,11,11,990,11.0,0,0,0,1,0,0.0,0.0,0.0,0.0"
"417,Mathew Ryan\4535e4bb,GK,3,3,270,3.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"418,Allan Saint-Maximin\2b16cb1a,FWMF,25,19,1560,17.3,4,3,0,0,0,2.6,2.6,3.3,5.9"
"419,Romain Saïss\9fbbcf39,DF,27,27,2407,26.7,0,3,0,2,0,3.5,3.5,0.3,3.8"
"420,Bukayo Saka\bc7dc64d,FWDF,32,30,2553,28.4,3,5,0,1,0,6.9,6.9,4.7,11.6"
"421,Mamadou Sakho\87935cf3,DF,4,3,276,3.1,0,0,0,0,0,0.0,0.0,0.0,0.0"
"422,Mohamed Salah\e342ad68,FW,37,34,3078,34.2,5,16,6,0,0,20.9,16.4,6.3,22.6"
"423,Mohammed Salisu\0b33f6ad,DF,12,8,844,9.4,0,0,0,1,0,0.4,0.4,0.0,0.4"
"424,Davinson Sánchez\da7b447d,DF,18,17,1486,16.5,0,0,0,1,0,1.1,1.1,0.0,1.1"
"425,Robert Sánchez\6a713852,GK,27,27,2430,27.0,0,0,0,2,0,0.0,0.0,0.0,0.0"
"426,Morgan Sanson\6e7f1353,MF,9,3,294,3.3,0,0,0,3,0,0.0,0.0,0.1,0.2"
"427,Romaine Sawyers\77bb1522,MF,19,17,1487,16.5,0,0,0,2,0,0.1,0.1,0.4,0.5"
"428,Dane Scarlett\21945a9e,FW,1,0,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"429,Fabian Schär\c8aa95da,DF,18,13,1246,13.8,0,0,1,4,1,1.2,0.4,0.0,0.4"
"430,Jeffrey Schlupp\3312f911,MF,27,15,1428,15.9,3,2,0,3,0,1.6,1.6,1.7,3.3"
"431,Kasper Schmeichel\53af52f3,GK,38,38,3420,38.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"432,Nélson Semedo\d04b94db,DF,34,34,2983,33.1,1,1,0,5,0,1.9,1.9,1.1,3.0"
"433,Femi Seriki\e4e0deaa,DF,1,0,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"434,Jamie Shackleton\8d03ca5a,MFDF,13,3,461,5.1,0,0,0,0,0,0.0,0.0,0.3,0.3"
"435,Xherdan Shaqiri\6421ec64,MFFW,14,5,556,6.2,2,0,0,2,0,0.4,0.4,3.0,3.4"
"436,Billy Sharp\e8c9f4e9,FW,16,7,735,8.2,0,1,2,1,0,2.7,1.2,0.6,1.8"
"437,Luke Shaw\9c94165b,DF,32,30,2654,29.5,5,1,0,8,0,0.7,0.7,5.2,5.9"
"438,Jonjo Shelvey\3727dd3c,MF,30,29,2617,29.1,3,1,0,7,0,2.5,2.5,2.7,5.2"
"439,Shola Shoretire\00f0482f,FW,2,0,11,0.1,0,0,0,0,0,0.0,0.0,0.0,0.0"
"440,Gylfi Sigurðsson\76dd1480,MF,36,24,2253,25.0,5,3,3,2,0,6.8,3.7,5.0,8.7"
"441,Bernardo Silva\3eb22ec9,MFFW,26,24,2065,22.9,6,2,0,5,0,2.8,2.8,3.7,6.5"
"442,Fábio Silva\e7aa9d7c,FW,32,11,1369,15.2,3,3,1,2,0,6.0,5.3,0.5,5.8"
"443,Thiago Silva\86e7deaf,DF,23,23,1935,21.5,0,2,0,5,1,1.1,1.1,0.3,1.5"
"444,Moussa Sissoko\2acd49b9,MF,25,15,1585,17.6,0,0,0,3,0,0.4,0.4,0.5,0.9"
"445,Islam Slimani\ffec9769,FW,1,0,20,0.2,0,0,0,0,0,0.0,0.0,0.0,0.1"
"446,William Smallbone\5e105217,MF,3,2,172,1.9,0,0,0,0,0,0.1,0.1,0.0,0.1"
"447,Emile Smith Rowe\17695062,MFFW,20,18,1440,16.0,4,2,0,0,0,2.0,2.0,3.0,5.0"
"448,Robert Snodgrass\9f4647e9,MFFW,8,6,526,5.8,0,0,0,2,0,0.2,0.2,0.3,0.5"
"449,Robert Snodgrass\9f4647e9,FWDF,3,0,5,0.1,0,0,0,0,0,0.0,0.0,0.0,0.0"
"450,Cédric Soares\839c14e1,DF,10,8,746,8.3,1,0,0,1,0,0.2,0.2,0.9,1.1"
"451,Tomáš Sou?ek\6613c819,MF,38,38,3419,38.0,1,10,0,7,1,9.2,9.2,1.5,10.7"
"452,Ça?lar Söyüncü\21166ff4,DF,23,19,1819,20.2,0,1,0,2,0,0.5,0.5,0.2,0.7"
"453,Zack Steffen\42130443,GK,1,1,90,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"454,Dale Stephens\653ee42d,MF,7,3,261,2.9,0,0,0,1,0,0.2,0.2,0.0,0.2"
"455,Jack Stephens\6adbc307,DF,18,17,1537,17.1,0,0,0,2,0,0.7,0.7,0.5,1.3"
"456,Raheem Sterling\b400bde0,FW,31,28,2536,28.2,7,10,0,4,0,12.2,11.4,4.8,16.3"
"457,Enda Stevens\17d4507a,DF,30,30,2700,30.0,1,0,0,6,0,1.1,1.1,1.6,2.7"
"458,John Stones\5eecec3d,DF,22,22,1933,21.5,0,4,0,0,1,2.2,2.2,0.1,2.3"
"459,Pascal Struijk\f4d296e4,DFMF,27,22,2075,23.1,0,1,0,3,0,2.4,2.4,0.2,2.6"
"460,Japhet Tanganga\e9971f2d,DF,6,6,487,5.4,0,0,0,2,0,0.2,0.2,0.0,0.2"
"461,Matt Targett\e514ab62,DF,38,38,3404,37.8,2,0,0,7,0,0.2,0.2,3.1,3.4"
