"Rk,Player,Pos,MP,Starts,Min,90s,Ast,G-PK,PK,CrdY,CrdR,xG,npxG,xA,npxG+xA"
"53,Héctor Bellerín\f874dd44,DF,25,24,2089,23.2,2,1,0,8,0,0.8,0.8,2.4,3.2"
"54,Saïd Benrahma\5a04fd92,FWMF,30,14,1391,15.5,6,1,0,0,0,2.3,2.3,4.4,6.6"
"55,Josh Benson\bf3aeb61,MF,6,2,264,2.9,0,0,0,0,0,0.2,0.2,0.0,0.2"
"56,Christian Benteke\ab070c55,FW,30,21,1816,20.2,1,10,0,3,1,8.1,8.1,1.0,9.1"
"57,Gaetano Berardi\5348aada,DF,2,1,113,1.3,0,0,0,0,0,0.0,0.0,0.0,0.0"
"58,Jóhann Berg Guðmundsson\f72293fc,MF,22,16,1363,15.1,0,2,0,2,0,1.7,1.7,0.5,2.2"
"59,Sander Berge\d0b6129f,MF,15,13,1120,12.4,1,0,1,4,0,1.2,0.5,1.2,1.7"
"60,Steven Bergwijn\a29b1131,FWMF,21,13,1208,13.4,3,1,0,3,0,2.5,2.5,1.3,3.7"
"61,Bernard\ab4b3e35,MFFW,12,3,455,5.1,0,1,0,2,0,0.2,0.2,0.6,0.8"
"62,Bernardo\17370b95,DFMF,3,2,206,2.3,0,0,0,0,0,0.3,0.3,0.2,0.5"
"63,Ryan Bertrand\01226327,DF,29,29,2598,28.9,1,0,0,5,0,0.6,0.6,1.2,1.8"
"64,Yves Bissouma\6c203af0,MF,36,35,3111,34.6,0,1,0,8,1,1.2,1.2,1.0,2.2"
"65,Jayden Bogle\ae5019e6,DF,16,12,1110,12.3,0,2,0,2,0,1.8,1.8,0.2,2.0"
"66,Willy Boly\a4ac4b8f,DF,21,21,1879,20.9,1,1,0,2,0,1.1,1.1,0.4,1.6"
"67,Jarrod Bowen\79c84d1c,FWMF,38,30,2562,28.5,5,8,0,0,0,6.3,6.3,4.6,10.8"
"68,Robbie Brady\96bb8cc2,MF,19,12,1052,11.7,1,1,0,3,0,0.8,0.8,0.9,1.7"
"69,Rhian Brewster\30e81a88,FW,27,12,1128,12.5,0,0,0,1,0,1.7,1.7,1.7,3.4"
"70,Nathan Broadhead\43309491,MF,1,0,3,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"71,Josh Brownhill\47369df8,MF,33,32,2813,31.3,1,0,0,2,0,1.9,1.9,1.1,3.0"
"72,Joe Bryan\af69e7f0,DFFW,16,7,669,7.4,0,1,0,2,0,0.4,0.4,0.4,0.8"
"73,Kean Bryan\c684d3c9,DF,13,12,1004,11.2,0,1,0,1,0,0.4,0.4,0.4,0.8"
"74,Oliver Burke\f631c17f,FW,25,14,1269,14.1,1,1,0,2,0,2.4,2.4,1.8,4.2"
"75,Dan Burn\b2d31e83,DF,27,23,2061,22.9,0,1,0,5,0,1.5,1.5,1.0,2.5"
"76,Jack Butland\cc70a1d5,GK,1,1,90,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"77,David Button\e608ed4c,GK,1,1,90,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"78,Oskar Buur\aa6f2f2c,DF,1,0,22,0.2,0,0,0,0,0,0.0,0.0,0.0,0.0"
"79,Willy Caballero\a179d516,GK,1,1,90,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"80,Gary Cahill\7914b9fe,DF,20,20,1800,20.0,1,1,0,3,0,0.7,0.7,0.7,1.4"
"81,Tom Cairney\a8748947,MF,10,9,759,8.4,1,1,0,2,0,0.7,0.7,1.4,2.1"
"82,Dominic Calvert-Lewin\59e6e5bf,FW,33,32,2871,31.9,0,16,0,3,0,15.4,15.4,2.0,17.5"
"83,João Cancelo\bd6351cd,DF,28,27,2299,25.5,3,2,0,5,1,2.0,2.0,4.9,6.9"
"84,Ian Carlo Poveda\55b4f1d6,MFDF,14,0,355,3.9,0,0,0,0,0,0.4,0.4,0.8,1.2"
"85,Andy Carroll\b581987a,FW,18,4,392,4.4,0,1,0,1,0,1.2,1.2,0.1,1.2"
"86,Scott Carson\3e1550ee,GK,1,1,90,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"87,Fabio Carvalho\966e28d0,MFFW,4,3,255,2.8,0,1,0,0,0,1.1,1.1,0.4,1.5"
"88,Matty Cash\2389cdc2,DF,28,28,2372,26.4,2,0,0,8,1,0.3,0.3,2.2,2.5"
"89,Kiko Casilla\58bc7d18,GK,3,3,270,3.0,0,0,0,0,0,0.0,0.0,0.0,0.0"
"90,Timothy Castagne\197640fd,DF,27,27,2345,26.1,3,2,0,1,0,1.3,1.3,2.0,3.3"
"91,Jonny Castro\e28868f3,DF,7,7,495,5.5,0,0,0,0,0,0.1,0.1,0.1,0.2"
"92,Ivan Cavaleiro\979b811d,FWMF,36,27,2472,27.5,0,2,1,2,0,6.2,4.7,3.4,8.0"
"93,Edinson Cavani\527f063d,FW,26,13,1375,15.3,3,10,0,4,0,7.4,7.4,2.7,10.1"
"94,Dani Ceballos\c0617e2b,MF,25,17,1615,17.9,3,0,0,4,0,0.7,0.7,2.9,3.6"
"95,Calum Chambers\dc6f5bdd,DF,10,8,753,8.4,2,0,0,0,0,0.6,0.6,1.1,1.7"
