"Rk,Player,Att 3rd,Att Pen,Succ,Att,Succ%,#Pl,Megs,PrgDist,Prog,1/3,CPA,Mis,Dis"
"66,Willy Boly\a4ac4b8f,45,19,5,5,100.0,5,0,1274,35,7,0,3,6"
"67,Jarrod Bowen\79c84d1c,579,120,40,64,62.5,40,3,2363,113,28,37,51,66"
"68,Robbie Brady\96bb8cc2,206,23,15,21,71.4,17,2,874,48,12,5,16,11"
"69,Rhian Brewster\30e81a88,204,33,9,17,52.9,9,0,390,21,8,3,22,16"
"70,Nathan Broadhead\43309491,0,0,0,0,,0,0,0,0,0,0,0,0"
"71,Josh Brownhill\47369df8,465,65,14,19,73.7,15,0,1315,64,22,7,22,14"
"72,Joe Bryan\af69e7f0,170,10,9,9,100.0,9,0,872,46,16,0,11,5"
"73,Kean Bryan\c684d3c9,66,7,3,5,60.0,3,0,728,11,8,0,4,5"
"74,Oliver Burke\f631c17f,240,67,18,26,69.2,18,3,688,42,6,20,44,31"
"75,Dan Burn\b2d31e83,378,43,17,22,77.3,18,0,2392,78,25,2,23,14"
"76,Jack Butland\cc70a1d5,0,0,0,0,,0,0,42,0,0,0,0,0"
"77,David Button\e608ed4c,0,0,0,0,,0,0,45,0,0,0,0,0"
"78,Oskar Buur\aa6f2f2c,0,0,0,0,,0,0,17,1,0,0,0,1"
"79,Willy Caballero\a179d516,0,0,0,0,,0,0,20,0,0,0,0,0"
"80,Gary Cahill\7914b9fe,38,26,1,2,50.0,1,0,1059,24,1,0,3,2"
"81,Tom Cairney\a8748947,252,13,12,18,66.7,12,0,1269,58,23,1,11,7"
"82,Dominic Calvert-Lewin\59e6e5bf,545,156,20,46,43.5,22,3,1148,63,22,19,113,50"
"83,João Cancelo\bd6351cd,849,80,50,87,57.5,54,10,4240,218,73,22,25,30"
"84,Ian Carlo Poveda\55b4f1d6,112,22,13,22,59.1,14,3,683,33,6,7,12,17"
"85,Andy Carroll\b581987a,79,25,2,6,33.3,4,0,130,3,1,1,13,6"
"86,Scott Carson\3e1550ee,0,0,0,0,,0,0,14,0,0,0,0,0"
"87,Fabio Carvalho\966e28d0,66,18,6,12,50.0,7,1,216,15,1,4,6,9"
"88,Matty Cash\2389cdc2,371,29,10,16,62.5,10,0,2290,87,37,7,16,15"
"89,Kiko Casilla\58bc7d18,0,0,0,0,,0,0,76,0,0,0,0,0"
"90,Timothy Castagne\197640fd,482,39,15,30,50.0,15,0,2606,130,35,1,23,15"
"91,Jonny Castro\e28868f3,92,6,4,8,50.0,4,0,552,27,9,2,4,13"
"92,Ivan Cavaleiro\979b811d,620,92,52,89,58.4,54,0,2465,135,38,23,92,61"
"93,Edinson Cavani\527f063d,238,81,6,15,40.0,7,0,207,12,3,1,28,8"
"94,Dani Ceballos\c0617e2b,371,29,26,36,72.2,26,4,3720,165,48,2,13,21"
"95,Calum Chambers\dc6f5bdd,191,23,3,8,37.5,3,2,963,33,15,1,6,5"
"96,Ben Chilwell\d2424d1b,779,77,18,33,54.5,21,1,4207,177,61,11,27,26"
"97,Hamza Choudhury\7d2d3329,28,1,0,1,0.0,0,1,309,9,1,0,3,2"
"98,Andreas Christensen\1cb49278,34,7,1,2,50.0,2,0,2385,54,10,0,2,3"
"99,Carney Chukwuemeka\b2f9c73e,6,2,0,0,,0,0,16,1,0,0,1,0"
"100,Ciaran Clark\2b91cf8e,58,18,6,9,66.7,6,0,1134,25,3,0,7,1"
"101,Nathaniel Clyne\0442183b,147,6,3,5,60.0,3,0,776,37,12,0,3,5"
"102,Conor Coady\2928dca2,17,12,7,9,77.8,7,1,2639,29,2,0,2,3"
"103,Séamus Coleman\0420d84f,257,30,20,39,51.3,21,1,1731,70,19,5,17,30"
"104,Aaron Connolly\27c01749,116,38,8,10,80.0,8,0,387,17,8,4,29,15"
"105,Liam Cooper\dc64b8b3,52,21,3,3,100.0,3,0,3447,57,9,0,5,6"
"106,Theo Corbeanu\25b82f9a,1,0,0,0,,0,0,7,1,0,0,2,1"
"107,Jack Cork\74e12f1e,158,13,3,7,42.9,5,0,710,33,11,2,9,14"
"108,Hélder Costa\f13d02a6,228,46,19,41,46.3,21,2,1213,56,13,11,27,32"
"109,Vladimír Coufal\fdf3cb77,640,47,18,27,66.7,18,1,2418,108,31,8,20,18"
"110,Aaron Cresswell\4f974391,594,18,6,15,40.0,8,2,2617,97,40,3,7,9"
"111,Patrick Cutrone\a4fe8cda,5,1,0,0,,0,0,7,1,1,0,0,0"
