"Rk,Player,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK"
"465,Charlie Taylor\cc2d7ad5,3,2,66.7,0.11,0.07,0.00,0.00,0"
"466,Neil Taylor\c2f9d19f,0,0,,0.00,0.00,,,0"
"467,Allan Tchaptchet\ab7d7882,0,0,,0.00,0.00,,,0"
"468,Nathan Tella\f1e94cd6,15,7,46.7,1.81,0.85,0.07,0.14,0"
"469,Alex Telles\e73c9bb2,5,1,20.0,0.65,0.13,0.00,0.00,0"
"470,Kenny Tete\77d7c96f,7,2,28.6,0.43,0.12,0.00,0.00,0"
"471,William Thomas Fish\b2ee9d2c,0,0,,0.00,0.00,,,0"
"472,Luke Thomas\fc027d02,8,3,37.5,0.74,0.28,0.13,0.33,0"
"473,Youri Tielemans\56f7a928,47,18,38.3,1.26,0.48,0.09,0.22,4"
"474,Kieran Tierney\fce2302c,15,3,20.0,0.59,0.12,0.07,0.33,0"
"475,James Tomkins\e7ca0439,2,0,0.0,0.33,0.00,0.00,,0"
"476,Fikayo Tomori\7edfbb8a,0,0,,0.00,0.00,,,0"
"477,Ferrán Torres\9e1035f8,36,14,38.9,2.48,0.96,0.19,0.50,0"
"478,Cenk Tosun\9a104dee,0,0,,0.00,0.00,,,0"
"479,Andros Townsend\b28bbd58,36,11,30.6,1.43,0.44,0.03,0.09,4"
"480,Conor Townsend\4dc4f138,11,4,36.4,0.44,0.16,0.00,0.00,2"
"481,Adama Traoré\9a28eba4,43,13,30.2,1.46,0.44,0.05,0.15,0"
"482,Bertrand Traoré\c47541e0,65,23,35.4,2.52,0.89,0.11,0.30,2"
"483,Trézéguet\3ae14ed1,35,12,34.3,2.70,0.93,0.06,0.17,0"
"484,Leandro Trossard\38ceb24a,58,23,39.7,2.00,0.79,0.09,0.22,2"
"485,Kostas Tsimikas\f315ca93,0,0,,0.00,0.00,,,0"
"486,Axel Tuanzebe\2baec6ce,0,0,,0.00,0.00,,,0"
"487,Cengiz Ünder\1880614f,10,2,20.0,3.20,0.64,0.00,0.00,0"
"488,Yan Valery\531a4aa8,2,0,0.0,1.75,0.00,0.00,,0"
"489,Jamie Vardy\45963054,73,27,37.0,2.31,0.86,0.10,0.26,0"
"490,Joël Veltman\dad4b285,14,4,28.6,0.55,0.16,0.07,0.25,0"
"491,Jannik Vestergaard\1900032e,21,8,38.1,0.73,0.28,0.14,0.38,0"
"492,Rúben Vinagre\b937e490,0,0,,0.00,0.00,,,0"
"493,Carlos Vinícius\8b529245,7,4,57.1,2.05,1.17,0.14,0.25,0"
"494,João Virgínia\728e9b2e,0,0,,0.00,0.00,,,0"
"495,Vitinha\3b029691,9,4,44.4,1.56,0.69,0.00,0.00,0"
"496,Jake Vokins\d484c261,0,0,,0.00,0.00,,,0"
"497,Mat?j Vydra\0d4ceb32,35,9,25.7,2.30,0.59,0.09,0.33,0"
"498,Theo Walcott\1ecb65be,0,0,,0.00,0.00,,,0"
"499,Theo Walcott\1ecb65be,30,11,36.7,1.67,0.61,0.10,0.27,0"
"500,Kyle Walker\86dd77d1,10,3,30.0,0.46,0.14,0.10,0.33,0"
"501,Kyle Walker-Peters\984a5a64,19,7,36.8,0.65,0.24,0.00,0.00,0"
"502,Aaron Wan-Bissaka\9e525177,8,4,50.0,0.24,0.12,0.25,0.50,0"
"503,Joel Ward\8a7ff278,2,1,50.0,0.08,0.04,0.00,0.00,0"
"504,James Ward-Prowse\3515d404,39,18,46.2,1.03,0.47,0.13,0.28,20"
"505,Ollie Watkins\aed3a70f,98,45,45.9,2.65,1.22,0.13,0.29,0"
"506,Caleb Watts\c7170b46,0,0,,0.00,0.00,,,0"
"507,Adam Webster\c40b6180,24,6,25.0,0.83,0.21,0.04,0.17,0"
"508,Danny Welbeck\ce5143da,33,14,42.4,1.92,0.82,0.18,0.43,0"
"509,Timo Werner\49fe9070,80,31,38.8,2.77,1.07,0.08,0.19,0"
"510,Ashley Westwood\495945ef,19,6,31.6,0.50,0.16,0.16,0.50,0"
"511,Ben White\35e413f1,10,0,0.0,0.28,0.00,0.00,,0"
"512,Georginio Wijnaldum\eb58eef0,31,9,29.0,0.95,0.28,0.06,0.22,1"
"513,Brandon Williams\5e74d6c8,1,1,100.0,0.48,0.48,0.00,0.00,0"
"514,Neco Williams\dd323728,2,0,0.0,0.72,0.00,0.00,,0"
"515,Rhys Williams\012c975a,7,0,0.0,0.95,0.00,0.00,,0"
"516,Willian\8b9ebd03,20,3,15.0,1.28,0.19,0.05,0.33,5"
"517,Joe Willock\a3b03921,4,0,0.0,1.51,0.00,0.00,,0"
"518,Joe Willock\a3b03921,17,12,70.6,1.56,1.10,0.47,0.67,0"
"519,Callum Wilson\c596fcb0,44,16,36.4,1.90,0.69,0.18,0.50,0"
"520,Harry Winks\2f7acede,4,1,25.0,0.42,0.10,0.00,0.00,0"
"521,Chris Wood\4e9a0555,67,37,55.2,2.20,1.21,0.15,0.27,0"
"522,Granit Xhaka\e61b8aee,21,6,28.6,0.75,0.21,0.05,0.17,7"
"523,Andriy Yarmolenko\849c826a,7,2,28.6,1.68,0.48,0.00,0.00,0"
"524,DeAndre Yedlin\ae0a7ddf,2,0,0.0,0.41,0.00,0.00,,0"
"525,Okay Yoku?lu\e49ce451,12,0,0.0,0.82,0.00,0.00,,1"
"526,Wilfried Zaha\b2bc3b1f,59,19,32.2,2.03,0.65,0.15,0.47,0"
"527,Andre-Frank Zambo Anguissa\6bb2c084,34,8,23.5,1.18,0.28,0.00,0.00,0"
"528,Andi Zeqiri\d01231f0,7,2,28.6,3.68,1.05,0.00,0.00,0"
"529,Oleksandr Zinchenko\51cf8561,16,4,25.0,0.97,0.24,0.00,0.00,1"
"530,Hakim Ziyech\6622454d,35,12,34.3,2.69,0.92,0.06,0.17,0"
"531,Kurt Zouma\ce4246f5,27,12,44.4,1.20,0.53,0.19,0.42,0"
"532,Martin Ødegaard\79300479,15,3,20.0,1.56,0.31,0.07,0.33,1"
